"","Module","Name","P_D","CLASS","b_mass","MStem","Flength","c","z","Main.Class","order","Biog"
"115",28,"Sciurus aestuans","D","MAMMAL",184.999,NA,NA,0.839506172839506,0.707106781186547,"MDE","Rodentia","Neotropics"
"70",17,"Sciurus aureogaster","D","MAMMAL",595.004,NA,NA,0,0,"MDE","Rodentia","Neotropics"
"71",17,"Sciurus deppei","D","MAMMAL",189.998,NA,NA,0,0,"MDE","Rodentia","Neotropics"
"86",18,"Sciurus granatensis","D","MAMMAL",250,NA,NA,0.612244897959184,1.02369194852722,"MDE","Rodentia","Neotropics"
"65",16,"Sciurus ignitus","D","MAMMAL",189.998,NA,NA,0,-0.957427107756338,"MDE","Rodentia","Neotropics"
"32",11,"Sciurus igniventris","D","MAMMAL",700.003,NA,NA,0.625,0.866025403784439,"MDE","Rodentia","Neotropics"
"16",6,"Sciurus ingrami","D","MAMMAL",NA,NA,NA,0.444444444444444,NA,"MDE","Rodentia","Neotropics"
"66",16,"Sciurus pyrrhinus","D","MAMMAL",482.003,NA,NA,0,-0.957427107756338,"MDE","Rodentia","Neotropics"
"67",16,"Sciurus sanborni","D","MAMMAL",136,NA,NA,0,-0.957427107756338,"MDE","Rodentia","Neotropics"
"97",21,"Sciurus spadiceus","D","MAMMAL",403.33,NA,NA,0.722222222222222,-0.408248290463863,"MDE","Rodentia","Neotropics"
"87",18,"Sciurus variegatoides","D","MAMMAL",484.998,NA,NA,0,-1.02369194852722,"MDE","Rodentia","Neotropics"
"137",39,"Sciurus variegatus","D","MAMMAL",NA,NA,NA,0.5,0,"MXDE","Rodentia","Neotropics"
"194",49,"Selenidera maculirostris","D","BIRDS",164,NA,NA,0.666666666666667,NA,"BDE","Piciformes","Neotropics"
"238",58,"Selenidera piperivora","D","BIRDS",147,NA,NA,0,0,"MXDE","Piciformes","Neotropics"
"51",15,"Semaprochilodus ","D","FISH",NA,NA,NA,0,0,"FDE","Characiformes","Neotropics"
"52",15,"Serrasalmus ","D","FISH",NA,NA,NA,0,0,"FDE","Characiformes","Neotropics"
"119",30,"Serrasalmus manueli","D","FISH",NA,NA,NA,0,0,"MXDE","Characiformes","Neotropics"
"53",15,"Serrasalmus rhombeus","D","FISH",NA,NA,NA,0,0,"FDE","Characiformes","Neotropics"
"211",55,"Sigmodon alstoni","D","MAMMAL",55.701,NA,NA,0,0,"MXDE","Rodentia","Neotropics"
"8",2,"Sigmodon hispidus","D","MAMMAL",92.383,NA,NA,0,0,"MDE","Rodentia","Neotropics"
"252",61,"Spindalis zena","D","BIRDS",25.36,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
